         
	 U.S. Patent Classes as of 31-DEC-1999	
         -------------------------------------
Source: USPTO

Utility Classes

Class	Title
283	Printed Matter
285	Pipe Joints or Couplings
289	Knots and Knot Tying
290	Prime-Mover Dynamo Plants
291	Track Sanders
292	Closure Fasteners
293	Vehicle Fenders
294	Handling:  Hand and Hoist-Line Implements
295	Railway Wheels and Axles
296	Land Vehicles:  Bodies and Tops
297	Chairs and Seats
298	Land Vehicles:  Dumping
299	Mining or In Situ Disintegration of Hard Material
300	Brush, Broom, and Mop Making
301	Land Vehicles:  Wheels and Axles
303	Fluid-Pressure and Analogous Brake Systems
305	Wheel Substitutes for Land Vehicles
307	Electrical Transmission or Interconnection Systems
310	Electrical Generator or Motor Structure
312	Supports:  Cabinet Structure
313	Electric Lamp and Discharge Devices
314	Electric Lamp and Discharge Devices: Consumable Electrodes
315	Electric Lamp and Discharge Devices:  Systems
318	Electricity:  Motive Power Systems
320	Electricity:  Battery or Capacitor Charging or Discharging
322	Electricity:  Single Generator Systems
323	Electricity:  Power Supply or Regulation Systems
324	Electricity:  Measuring and Testing
326	Electronic Digital Logic Circuitry
327	Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems
329	Demodulators
330	Amplifiers
331	Oscillators
332	Modulators
333	Wave Transmission Lines and Networks
334	Tuners
335	Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets
336	Inductor Devices
337	Electricity:  Electrothermally or Thermally Actuated Switches
338	Electrical Resistors
340	Communications:  Electrical
341	Coded Data Generation or Conversion
342	Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)
343	Communications:  Radio Wave Antennas
345	Computer Graphics Processing, Operator Interface Processing, and Selective Visual Display Systems
346	Recorders
347	Incremental Printing of Symbolic Information
348	Television
349	Liquid Crystal Cells, Elements and Systems
351	Optics:  Eye Examining, Vision Testing and Correcting
352	Optics:  Motion Pictures
353	Optics:  Image Projectors
355	Photocopying
356	Optics:  Measuring and Testing
358	Facsimile and Static Presentation Processing
359	Optics:  Systems (Including Communication) and Elements
360	Dynamic Magnetic Information Storage or Retrieval
361	Electricity:  Electrical Systems and Devices
362	Illumination
363	Electric Power Conversion Systems
365	Static Information Storage and Retrieval
366	Agitating
367	Communications, Electrical: Acoustic Wave Systems and Devices
368	Horology: Time Measuring Systems or Devices
369	Dynamic Information Storage or Retrieval
370	Multiplex Communications
372	Coherent Light Generators
373	Industrial Electric Heating Furnaces
374	Thermal Measuring and Testing
375	Pulse or Digital Communications
376	Induced Nuclear Reactions:  Processes, Systems, and Elements
377	Electrical Pulse Counters, Pulse Dividers, or Shift Registers:  Circuits and Systems
378	X-Ray or Gamma Ray Systems or Devices
379	Telephonic Communications
380	Cryptography
381	Electrical Audio Signal Processing Systems and Devices
382	Image Analysis
383	Flexible Bags
384	Bearings
385	Optical Waveguides
386	Television Signal Processing for Dynamic Recording or Reproducing
388	Electricity:  Motor Control Systems
392	Electric Resistance Heating Devices
395	Information Processing System Organization
396	Photography
399	Electrophotography
400	Typewriting Machines
401	Coating Implements with Material Supply
402	Binder Device Releasably Engaging Aperture or Notch of Sheet
403	Joints and Connections
404	Road Structure, Process, or Apparatus
405	Hydraulic and Earth Engineering
406	Conveyors:  Fluid Current
407	Cutters, for Shaping
408	Cutting by Use of Rotating Axially Moving Tool
409	Gear Cutting, Milling, or Planing
410	Freight Accommodation On Freight Carrier
411	Expanded, Threaded, Driven, Headed, Tool-Deformed, or Locked-Threaded Fastener
412	Bookbinding: Process and Apparatus
413	Sheet Metal Container Making
414	Material or Article Handling
415	Rotary Kinetic Fluid Motors or Pumps
416	Fluid Reaction Surfaces (i.e., Impellers)
417	Pumps
418	Rotary Expansible Chamber Devices
419	Powder Metallurgy Processes
420	Alloys or Metallic Compositions
422	Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing
423	Chemistry of Inorganic Compounds
424	Drug, Bio-Affecting and Body Treating Compositions
425	Plastic Article or Earthenware Shaping or Treating: Apparatus
426	Food or Edible Material:  Processes, Compositions, and Products
427	Coating Processes
428	Stock Material or Miscellaneous Articles
429	Chemistry:  Electrical Current Producing Apparatus, Product, and Process
430	Radiation Imagery Chemistry: Process, Composition, or Product Thereof
431	Combustion
432	Heating
433	Dentistry
434	Education and Demonstration
435	Chemistry: Molecular Biology and Microbiology
436	Chemistry: Analytical and Immunological Testing
438	Semiconductor Device Manufacturing: Process
439	Electrical Connectors
440	Marine Propulsion
441	Buoys, Rafts, and Aquatic Devices
442	Web or Sheet Containing Structurally Defined Element or Component (428/221)
445	Electric Lamp or Space Discharge Component or Device Manufacturing
446	Amusement Devices:  Toys
449	Bee Culture
450	Foundation Garments
451	Abrading
452	Butchering
453	Coin Handling
454	Ventilation
455	Telecommunications
460	Crop Threshing or Separating
462	Books, Strips, and Leaves for Manifolding
463	Amusement Devices: Games
464	Rotary Shafts, Gudgeons, Housings, and Flexible Couplings for Rotary Shafts
470	Threaded, Headed Fastener, or Washer Making: Process and Apparatus
472	Amusement Devices
473	Games Using Tangible Projectile
474	Endless Belt Power Transmission Systems or Components
475	Planetary Gear Transmission Systems or Components
476	Friction Gear Transmission Systems or Components
477	Interrelated Power Delivery Controls, Including Engine Control
482	Exercise Devices
483	Tool Changing
492	Roll or Roller
493	Manufacturing Container or Tube From Paper; or Other Manufacturing From a Sheet or Web
494	Imperforate Bowl:  Centrifugal Separators
501	Compositions: Ceramic
502	Catalyst, Solid Sorbent, or Support Therefor:  Product or Process of Making
503	Record Receiver Having Plural Interactive Leaves or a Colorless Color Former, Method of Use, or Developer Therefor
504	Plant Protecting and Regulating Compositions
505	Superconductor Technology:  Apparatus, Material, Process
507	Earth Boring, Well Treating, and Oil Field Chemistry
508	Solid Anti-Friction Devices, Materials Therefor, Lubricant or Separate Compositions for Moving Solid Surfaces, and Miscellaneous Mineral Oil Compositions
510	Cleaning Compositions for Solid Surfaces, Auxiliary Compositions Therefor, or Processes of Preparing the Compositions
512	Perfume Compositions
514	Drug, Bio-Affecting and Body Treating Compositions
516	Colloid Systems and Wetting Agents; Subcombinations Thereof; Processes Of
518	Chemistry:  Fischer-Tropsch Processes; or Purification or Recovery of Products Thereof
520	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
521	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
522	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
523	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
524	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
525	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
526	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
527	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
528	Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series
530	Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof
532	Organic Compounds -- Part of the Class 532-570 Series
534	Organic Compounds -- Part of the Class 532-570 Series
536	Organic Compounds -- Part of the Class 532-570 Series
540	Organic Compounds -- Part of the Class 532-570 Series
544	Organic Compounds -- Part of the Class 532-570 Series
546	Organic Compounds -- Part of the Class 532-570 Series
548	Organic Compounds -- Part of the Class 532-570 Series
549	Organic Compounds -- Part of the Class 532-570 Series
552	Organic Compounds -- Part of the Class 532-570 Series
554	Organic Compounds -- Part of the Class 532-570 Series
556	Organic Compounds -- Part of the Class 532-570 Series
558	Organic Compounds -- Part of the Class 532-570 Series
560	Organic Compounds -- Part of the Class 532-570 Series
562	Organic Compounds -- Part of the Class 532-570 Series
564	Organic Compounds -- Part of the Class 532-570 Series
568	Organic Compounds -- Part of the Class 532-570 Series
570	Organic Compounds -- Part of the Class 532-570 Series
585	Chemistry of Hydrocarbon Compounds
588	Hazardous or Toxic Waste Destruction or Containment
600	Surgery
601	Surgery: Kinesitherapy
602	Surgery: Splint, Brace, or Bandage
604	Surgery
606	Surgery
607	Surgery: Light, Thermal, and Electrical Application
623	Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor
700	Data Processing:  Generic Control Systems or Specific Applications
701	Data Processing: Vehicles, Navigation, and Relative Location
702	Data Processing: Measuring, Calibrating, or Testing
704	Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression
705	Data Processing: Financial, Business Practice, Management, or Cost/Price Determination
706	Data Processing: Artificial Intelligence
707	Data Processing:  Database and File Management, Data Structures, or Document Processing
708	Electrical Computers:  Arithmetic Processing and Calculating
709	Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating
710	Electrical Computers and Digital Data Processing Systems:  Input/Output
711	Electrical Computers and Digital Processing Systems: Memory
712	Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)
713	Electrical Computers and Digital Processing Systems:  Support
714	Error Detection/Correction and Fault Detection/Recovery
800	Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes
901	Robots
902	Electronic Funds Transfer
930	Peptide or Protein Sequence
968	Horology
976	Nuclear Technology
984	Musical Instruments
987	Organic Compounds Containing a Bi, Sb, As, or P Atom or Containing a Metal Atom of the 6th To 8th Group of the Periodic System
